title,author,length
The Anarchist Handbook,Michael Malice,Length: 13 hrs and 29 mins
The Shuddering,Ania Ahlborn,Length: 8 hrs and 41 mins
The Tender Bar,J. R. Moehringer,Length: 16 hrs and 16 mins
The Radium Girls,Kate Moore,Length: 15 hrs and 52 mins
The Time Traveler's Wife,Audrey Niffenegger,Length: 17 hrs and 38 mins
Presence,Amy Cuddy,Length: 9 hrs and 18 mins
Delivering Happiness,Tony Hsieh,Length: 8 hrs and 17 mins
"Roll of Thunder, Hear My Cry",Mildred D. Taylor,Length: 8 hrs and 28 mins
How We Love,"Milan Yerkovich,Kay Yerkovich",Length: 10 hrs and 56 mins
Crossing the Chasm,Geoffrey A. Moore,Length: 9 hrs and 45 mins
Long Way Down,Jason Reynolds,Length: 1 hr and 43 mins
"Where'd You Go, Bernadette",Maria Semple,Length: 9 hrs and 35 mins
Hot Commodities,Jim Rogers,Length: 7 hrs and 25 mins
Black Hawk Down,Mark Bowden,Length: 15 hrs and 14 mins
The First Fifteen Lives of Harry August,Claire North,Length: 12 hrs and 10 mins
Rework,"Jason Fried,David Heinemeier Hansson",Length: 2 hrs and 50 mins
A Clockwork Orange,Anthony Burgess,Length: 7 hrs and 44 mins
Only the Evil,Amanda M. Lee,Length: 9 hrs and 22 mins
Sonny,S.J. Peddie,Length: 8 hrs and 22 mins
We Need to Talk About Kevin,Lionel Shriver,Length: 16 hrs and 9 mins
The Unbearable Lightness of Being,"Milan Kundera,Michael Henry Heim - translator",Length: 9 hrs and 37 mins
Born a Crime,Trevor Noah,Length: 8 hrs and 44 mins
Isekai Isles,Marcus Sloss,Length: 10 hrs and 7 mins
Traction,Gino Wickman,Length: 6 hrs and 56 mins
The Art of Letting Go,Damon Zahariades,Length: 3 hrs and 4 mins
Cues,Vanessa Van Edwards,Length: 8 hrs and 1 min
The Perfect Run 2,"Maxime J. Durand,Void Herald",Length: 18 hrs and 25 mins
American Prometheus,"Kai Bird,Martin J. Sherwin",Length: 26 hrs and 30 mins
Shadows Reel,C. J. Box,Length: 9 hrs and 4 mins
When Humanity Ends,Jack Hunt,Length: 6 hrs and 54 mins
The Wok,J. Kenji Lopez-Alt,Length: 19 hrs and 44 mins
Super Gut,William Davis MD,Length: 8 hrs and 22 mins
"Blood, Sweat & Chrome",Kyle Buchanan,Length: 10 hrs and 17 mins
Black Ops,Ric Prado,Length: 12 hrs and 39 mins
Outliers,Malcolm Gladwell,Length: 7 hrs and 18 mins
Christianity Made Me Talk Like an Idiot,Seth Andrews,Length: 6 hrs and 57 mins
Three More Months,Sarah Echavarre,Length: 9 hrs and 21 mins
Never Split the Difference,Chris Voss,Length: 8 hrs and 7 mins
The Alchemist,Paulo Coelho,Length: 4 hrs
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)",Timothy Ferriss,Length: 13 hrs and 1 min
The Millionaire Next Door,"Thomas J. Stanley Ph.D.,William D. Danko Ph.D.",Length: 8 hrs and 16 mins
Diablo Mesa,"Douglas Preston,Lincoln Child",Length: 11 hrs and 55 mins
The Summer Getaway,Susan Mallery,Length: 10 hrs and 50 mins
Fahrenheit 451,Ray Bradbury,Length: 5 hrs and 1 min
Still Just a Geek,Wil Wheaton,Length: Not Yet Known
Zypheria's Call,Nathan Lowell,Length: 11 hrs and 36 mins
The Revolt of the Elites and the Betrayal of Democracy,Christopher Lasch,Length: 7 hrs and 32 mins
In a New York Minute,Kate Spencer,Length: 9 hrs and 56 mins
Built to Sell,John Warrillow,Length: 4 hrs and 24 mins
How Did You Survive Without Us?,"Ki Brightly,M.D. Gregory",Length: 10 hrs and 4 mins
Verse and Vengeance,Amanda Flower,Length: 8 hrs and 15 mins
The Heretic,Liam McIlvanney,Length: 15 hrs and 45 mins
Caraval,Stephanie Garber,Length: 10 hrs and 36 mins
Last Contact,"Jason Anspach,Nick Cole",Length: 13 hrs and 20 mins
Zero to One,"Peter Thiel,Blake Masters",Length: 4 hrs and 50 mins
The Intelligent Investor Rev Ed.,Benjamin Graham,Length: 17 hrs and 48 mins
The ONE Thing,"Gary Keller,Jay Papasan",Length: 5 hrs and 28 mins
The Ones That Got Away,Stephen Graham Jones,Length: 9 hrs and 58 mins
The Road,Cormac McCarthy,Length: 6 hrs and 39 mins
The Greatest Salesman in the World,Og Mandino,Length: 2 hrs and 33 mins
The 6 Pillars of Intimacy,"Alisa DiLorenzo,Tony DiLorenzo",Length: 3 hrs and 5 mins
Will,"Will Smith,Mark Manson",Length: 16 hrs and 16 mins
Assembly,Natasha Brown,Length: 1 hr and 59 mins
The Rise and Fall of the Third Reich,William L. Shirer,Length: 57 hrs and 11 mins
Firewater Blues,Caimh McDonnell,Length: 10 hrs and 52 mins
Ice World,B.V. Larson,Length: 12 hrs and 59 mins
Cornwallis,Richard Middleton,Length: 14 hrs and 24 mins
The Family Across the Street,Nicole Trope,Length: 8 hrs and 5 mins
The Patient's Secret,Loreth Anne White,Length: 11 hrs and 18 mins
Before the Batman: An Original Movie Novel (The Batman Movie),Random House,Length: 2 hrs and 20 mins
CEO Excellence,"Carolyn Dewar,Scott Keller,Vikram Malhotra",Length: 11 hrs and 37 mins
The Wedding Veil,Kristy Woodson Harvey,Length: 11 hrs and 24 mins
Dying for You,Jenny Frame,Length: 7 hrs and 8 mins
Life by Design,Jack Daly,Length: 6 hrs and 32 mins
The Ravenous Dead,Darcy Coates,Length: 8 hrs and 1 min
Los secretos de la mente millonaria (Narración en Castellano) [Secrets of the Millionaire Mind],T. Harv Eker,Length: 2 hrs and 17 mins
The Great Gatsby,F. Scott Fitzgerald,Length: 4 hrs and 49 mins
The 5 Second Rule,Mel Robbins,Length: 7 hrs and 35 mins
Nature Wants Us to Be Fat,Richard J. Johnson MD,Length: 9 hrs and 24 mins
East of Eden,John Steinbeck,Length: 25 hrs and 23 mins
The Phantom of the Lop Ear,Andrew Seiple,Length: 11 hrs and 39 mins
CEO Excellence,"Carolyn Dewar,Scott Keller,Vikram Malhotra",Length: 11 hrs and 36 mins
Her Forbidden Highlander Husband,Allison B. Hanson,Length: 9 hrs and 16 mins
